,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37
25HVITD3t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25HVITD3tin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25HVITD3tm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AMACHYD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AMACSULT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AMADPTm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2DR1PP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2HBt2,0.006693000000041138,0.002881000000002132,0.010085000000003673,0.008120999999960077,0.006256000000007589,0.005806000000006861,0.008651999999983673,0.0055370000000039,0.007061000000021522,0.007260999999971319,0.007564000000002125,0.008986000000049899,0.005745000000047186,0.006498999999962507,0.006340000000022883,0.0040099999999938536,0.005969000000050072,0.00820699999997032,0.005428000000051725,0.006876000000033855,0.007456000000047425,0.004160999999953674,0.003871000000003733,0.003964999999993779,0.01340000000004693,0.006994999999960783,0.01174700000001394,0.005622000000016668,0.002099000000043816,0.004135000000019318,0.0025799999999662764,0.0062380000000530345,0.00770799999997962,0.003022999999984677,0.003550000000018372,0.003538000000048669,0.005762000000004264,0.0041959999999789934
2MCITt,,,0.0,,0.0,,0.0,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,
2OXOADOXm,0.000814,0.0012300000000000002,0.001833,0.0005150000000000003,0.000925,0.000364,0.0011710000000000006,0.0011029999999999998,0.000614,0.001714,0.001025,0.0007139999999999995,0.0005500000000000001,0.0006259999999999997,0.0005640000000000259,0.0005669999999999997,0.0005439999999999998,0.000307,0.0008310000000000001,0.0009270000000000431,0.0,0.0006939999999999997,0.0012700000000000005,0.001347,0.0007349999999999995,0.001021,0.002732,0.0016030000000000007,0.0007200000000000003,0.001006,0.0009870000000000002,0.000941,0.000908,0.000989,0.0022780000000000005,0.0005760000000000001,0.000799,0.000953
2OXOADPTm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34DHOXPEGOX,1.1999999969702912e-05,0.00011199999994460086,9.999999974752427e-06,0.0,3.300000003036985e-05,4.100000001017179e-05,3.999999989900971e-06,0.00014499999997497068,0.00018499999998766722,3.999999989900971e-06,1.1999999969702912e-05,4.6999999995023245e-05,2.6000000048043148e-05,3.600000002279557e-05,2.4000000053092663e-05,7.999999979801942e-06,8.999999977277184e-06,3.600000002279557e-05,0.0,2.6000000048043148e-05,0.0,0.0,2.0999999946980097e-05,3.0000000037944122e-05,1.1999999969702912e-05,0.0,8.999999977277184e-06,1.3999999964653393e-05,6.0999999959676636e-05,1.999999994950485e-05,4.4000000002597524e-05,1.099999997222767e-05,4.4000000002597524e-05,5.399999997734994e-05,3.500000002532033e-05,5.1999999982399465e-05,0.0,1.799999995455437e-05
34DHOXPEGt,1.1999999969702912e-05,0.00011199999994460086,9.999999974752427e-06,0.0,3.300000003036985e-05,4.100000001017179e-05,3.999999989900971e-06,0.00014499999997497068,0.00018499999998766722,3.999999989900971e-06,1.1999999969702912e-05,4.6999999995023245e-05,2.6000000048043148e-05,3.600000002279557e-05,2.4000000053092663e-05,7.999999979801942e-06,8.999999977277184e-06,3.600000002279557e-05,0.0,2.6000000048043148e-05,0.0,0.0,2.0999999946980097e-05,3.0000000037944122e-05,1.1999999969702912e-05,0.0,8.999999977277184e-06,1.3999999964653393e-05,6.0999999959676636e-05,1.999999994950485e-05,4.4000000002597524e-05,1.099999997222767e-05,4.4000000002597524e-05,5.399999997734994e-05,3.500000002532033e-05,5.1999999982399465e-05,0.0,1.799999995455437e-05
34DHPHELAT1tc,0.005122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34DHPHEt,-0.005122000000028493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34HPLFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34HPPOR,0.0006020701840570348,0.001428,0.000253,0.000177,0.000472,0.001777,0.00081,0.0016760000000000002,0.001189,0.000138,0.0014880000000000002,0.002091,0.001149,0.002683,0.0005780000000000001,0.0001,0.0005430000000000001,0.0012651872541047555,0.001007,0.001271,7.000000000000003e-06,0.000204,0.000218,0.0002459699999999835,0.000983,0.001008846062718767,0.0001164560651188834,0.0007558935233152617,0.0020416299999887113,0.001936,0.001379,0.000518,0.000822,0.000245,0.0004941955555658077,0.001805,0.000892,0.0011484700000000108
35CGMPtn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3AIBTm,0.00032199999998283596,0.0008933978666618713,0.0005529999999680513,0.0006859999999733193,0.0002862761538153791,9.399999999004649e-05,0.0001998833332663708,0.0006499999999505235,0.0006106888556587362,0.00037099999997280975,0.0,0.0004989999999907012,0.0,0.0002490000000534565,0.00046499999996285613,0.00023499999997511625,0.0,0.00025100000004840695,9.000000000014552e-05,0.0005070429824627354,0.0004050000000006549,0.00023399999997764096,3.0000000037944122e-05,0.00046599999996033153,0.00033499999995001417,0.0,0.0,0.0,0.00016400000004068715,0.0,0.00038500000005115,0.00010899999995217512,0.0,0.0010350000000016737,0.0002819999999701395,0.0,3.9000000015221297e-05,0.0
3AIB_Dtm,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
